Species,Longitude,Latitude
Hetaerina_vulnerata,-112.91702,37.59292
Hetaerina_vulnerata,-113.69296,37.33802
Hetaerina_vulnerata,-112.949409,37.305105
Hetaerina_vulnerata,-113.39999,37.28633
Hetaerina_vulnerata,-112.94722,37.28447
Hetaerina_vulnerata,-113.39209,37.2772
Hetaerina_vulnerata,-112.943812,37.27277
Hetaerina_vulnerata,-113.08811,37.27276
Hetaerina_vulnerata,-112.94617,37.27179
Hetaerina_vulnerata,-112.93805,37.27073
Hetaerina_vulnerata,-113.09397,37.26874
Hetaerina_vulnerata,-113.369,37.2649
Hetaerina_vulnerata,-113.36943,37.25989
Hetaerina_vulnerata,-112.94898,37.25941
Hetaerina_vulnerata,-112.962198,37.257238
Hetaerina_vulnerata,-113.28594,37.25722
Hetaerina_vulnerata,-112.96246,37.25711
Hetaerina_vulnerata,-112.960374,37.255655
Hetaerina_vulnerata,-112.96123,37.25515
Hetaerina_vulnerata,-112.958939,37.251409
Hetaerina_vulnerata,-112.956607,37.248593
Hetaerina_vulnerata,-112.956607,37.248593
Hetaerina_vulnerata,-112.95439,37.24613
Hetaerina_vulnerata,-112.965533,37.237661
Hetaerina_vulnerata,-112.96486,37.23728
Hetaerina_vulnerata,-113.40546,37.2239
Hetaerina_vulnerata,-112.96667,37.21633
Hetaerina_vulnerata,-112.99891,37.21323
Hetaerina_vulnerata,-112.9867,37.21052
Hetaerina_vulnerata,-112.957711,37.209969
Hetaerina_vulnerata,-113.39765,37.20902
Hetaerina_vulnerata,-112.72183,37.19301
Hetaerina_vulnerata,-112.99022,37.17547
Hetaerina_vulnerata,-112.9659,37.1618
Hetaerina_vulnerata,-113.03764,37.15902
Hetaerina_vulnerata,-112.50569,36.393805
Hetaerina_vulnerata,-115.02282,36.20175
Hetaerina_vulnerata,-112.094772,36.105708
Hetaerina_vulnerata,-112.128782,36.077546
Hetaerina_vulnerata,-106.0599,35.96889
Hetaerina_vulnerata,-111.76816,35.83557
Hetaerina_vulnerata,-106.19649,35.80366
Hetaerina_vulnerata,-113.47253,35.17867
Hetaerina_vulnerata,-111.73739,34.99458
Hetaerina_vulnerata,-111.7417771,34.99032645
Hetaerina_vulnerata,-111.747752,34.989608
Hetaerina_vulnerata,-111.747362,34.989164
Hetaerina_vulnerata,-111.75,34.9398
Hetaerina_vulnerata,-111.73908,34.92856
Hetaerina_vulnerata,-111.73544,34.92485
Hetaerina_vulnerata,-111.74881,34.91239
Hetaerina_vulnerata,-112.069922,34.881855
Hetaerina_vulnerata,-111.757614,34.869154
Hetaerina_vulnerata,-111.757571,34.869049
Hetaerina_vulnerata,-111.758549,34.868575
Hetaerina_vulnerata,-111.759027,34.868539
Hetaerina_vulnerata,-111.759699,34.868199
Hetaerina_vulnerata,-112.068938,34.866636
Hetaerina_vulnerata,-111.807465,34.825508
Hetaerina_vulnerata,-111.800566,34.824089
Hetaerina_vulnerata,-112.007316,34.753094
Hetaerina_vulnerata,-111.715,34.66783333
Hetaerina_vulnerata,-111.71263,34.6678
Hetaerina_vulnerata,-106.7403,34.65267
Hetaerina_vulnerata,-111.851654,34.549831
Hetaerina_vulnerata,-110.4012,34.4481
Hetaerina_vulnerata,-111.096,34.3398
Hetaerina_vulnerata,-112.569078,34.310688
Hetaerina_vulnerata,-111.03711,34.30841
Hetaerina_vulnerata,-111.0353852,34.30806557
Hetaerina_vulnerata,-110.979678,34.205235
Hetaerina_vulnerata,-112.163208,34.191895
Hetaerina_vulnerata,-110.8088244,34.10772951
Hetaerina_vulnerata,-112.1583939,34.06165489
Hetaerina_vulnerata,-109.4364,34.03799
Hetaerina_vulnerata,-111.8614841,33.96288553
Hetaerina_vulnerata,-112.6970888,33.93337304
Hetaerina_vulnerata,-112.694825,33.933081
Hetaerina_vulnerata,-111.816444,33.916074
Hetaerina_vulnerata,-111.958385,33.881575
Hetaerina_vulnerata,-110.9664796,33.84598627
Hetaerina_vulnerata,-111.589333,33.553875
Hetaerina_vulnerata,-110.2794,33.5107
Hetaerina_vulnerata,-108.82545,33.42071
Hetaerina_vulnerata,-108.84202,33.37208
Hetaerina_vulnerata,-108.842497,33.370872
Hetaerina_vulnerata,-112.49092,33.34266
Hetaerina_vulnerata,-111.2916542,33.30118163
Hetaerina_vulnerata,-108.269725,33.231583
Hetaerina_vulnerata,-108.2639,33.2297
Hetaerina_vulnerata,-108.265838,33.228134
Hetaerina_vulnerata,-108.2154,33.202761
Hetaerina_vulnerata,-108.02818,33.18548
Hetaerina_vulnerata,-109.4399858,33.05896986
Hetaerina_vulnerata,-107.38893,32.97939
Hetaerina_vulnerata,-108.493,32.969
Hetaerina_vulnerata,-108.524494,32.967204
Hetaerina_vulnerata,-108.52861,32.96428
Hetaerina_vulnerata,-109.89135,32.93652
Hetaerina_vulnerata,-107.686,32.9198
Hetaerina_vulnerata,-107.52932,32.91898
Hetaerina_vulnerata,-109.4898,32.9113
Hetaerina_vulnerata,-109.4869,32.9094
Hetaerina_vulnerata,-107.9968,32.8979
Hetaerina_vulnerata,-107.824078,32.897443
Hetaerina_vulnerata,-109.4798684,32.89432228
Hetaerina_vulnerata,-107.995,32.8914
Hetaerina_vulnerata,-108.5999,32.84153
Hetaerina_vulnerata,-108.50814,32.83906
Hetaerina_vulnerata,-107.91544,32.79085
Hetaerina_vulnerata,-107.8661,32.7314
Hetaerina_vulnerata,-108.37932,32.72942
Hetaerina_vulnerata,-109.8141916,32.65126366
Hetaerina_vulnerata,-110.25881,32.35393
Hetaerina_vulnerata,-110.256436,32.352083
Hetaerina_vulnerata,-110.24383,32.351662
Hetaerina_vulnerata,-110.24402,32.351597
Hetaerina_vulnerata,-110.255997,32.350542
Hetaerina_vulnerata,-111.81482,32.10396
Hetaerina_vulnerata,-109.297663,32.067382
Hetaerina_vulnerata,-110.6438256,32.01878803
Hetaerina_vulnerata,-109.38228,31.92981
Hetaerina_vulnerata,-109.219147,31.929514
Hetaerina_vulnerata,-109.25207,31.919391
Hetaerina_vulnerata,-109.240762,31.913062
Hetaerina_vulnerata,-109.250697,31.909309
Hetaerina_vulnerata,-109.252078,31.90901
Hetaerina_vulnerata,-109.251939,31.908973
Hetaerina_vulnerata,-109.251706,31.908953
Hetaerina_vulnerata,-109.1687823,31.89005675
Hetaerina_vulnerata,-109.174055,31.8861
Hetaerina_vulnerata,-109.205693,31.883648
Hetaerina_vulnerata,-109.211636,31.883045
Hetaerina_vulnerata,-109.222053,31.87829
Hetaerina_vulnerata,-109.222598,31.875792
Hetaerina_vulnerata,-109.2344,31.8725
Hetaerina_vulnerata,-109.234014,31.872477
Hetaerina_vulnerata,-109.233573,31.87244
Hetaerina_vulnerata,-109.234254,31.872348
Hetaerina_vulnerata,-109.234107,31.87201
Hetaerina_vulnerata,-109.235913,31.870628
Hetaerina_vulnerata,-109.313,31.7762
Hetaerina_vulnerata,-110.844766,31.760543
Hetaerina_vulnerata,-110.843897,31.759042
Hetaerina_vulnerata,-109.366166,31.757589
Hetaerina_vulnerata,-110.884293,31.738155
Hetaerina_vulnerata,-110.88265,31.73444
Hetaerina_vulnerata,-110.883497,31.733514
Hetaerina_vulnerata,-110.88351,31.73345
Hetaerina_vulnerata,-110.881995,31.731511
Hetaerina_vulnerata,-110.880981,31.728692
Hetaerina_vulnerata,-110.881204,31.728318
Hetaerina_vulnerata,-110.881097,31.728316
Hetaerina_vulnerata,-110.881019,31.728167
Hetaerina_vulnerata,-110.880976,31.728021
Hetaerina_vulnerata,-110.8812111,31.7278178
Hetaerina_vulnerata,-110.88101,31.72781
Hetaerina_vulnerata,-110.881206,31.727801
Hetaerina_vulnerata,-110.873723,31.711557
Hetaerina_vulnerata,-109.51,31.595
Hetaerina_vulnerata,-110.372858,31.542498
Hetaerina_vulnerata,-110.37344,31.542109
Hetaerina_vulnerata,-110.37418,31.54113
Hetaerina_vulnerata,-110.843468,31.498946
Hetaerina_vulnerata,-110.31729,31.491895
Hetaerina_vulnerata,-110.353198,31.482667
Hetaerina_vulnerata,-110.631137,31.475405
Hetaerina_vulnerata,-110.3517,31.473
Hetaerina_vulnerata,-110.353707,31.472588
Hetaerina_vulnerata,-110.361456,31.461805
Hetaerina_vulnerata,-110.39613,31.45568
Hetaerina_vulnerata,-110.402,31.4483
Hetaerina_vulnerata,-110.306879,31.447783
Hetaerina_vulnerata,-110.30788,31.44752
Hetaerina_vulnerata,-110.31535,31.44554
Hetaerina_vulnerata,-110.315808,31.444594
Hetaerina_vulnerata,-110.31815,31.443866
Hetaerina_vulnerata,-110.315351,31.443215
Hetaerina_vulnerata,-110.321445,31.441238
Hetaerina_vulnerata,-110.31869,31.438136
Hetaerina_vulnerata,-110.318548,31.437836
Hetaerina_vulnerata,-110.319428,31.437788
Hetaerina_vulnerata,-110.318567,31.437755
Hetaerina_vulnerata,-110.318727,31.437578
Hetaerina_vulnerata,-110.327625,31.43606
Hetaerina_vulnerata,-110.32082,31.432713
Hetaerina_vulnerata,-111.188437,31.431988
Hetaerina_vulnerata,-110.277417,31.413769
Hetaerina_vulnerata,-110.362849,31.381361
Hetaerina_vulnerata,-110.36299,31.38116
Hetaerina_vulnerata,-110.362977,31.38108
Hetaerina_vulnerata,-110.36311,31.380621
Hetaerina_vulnerata,-107.824412,32.89778
Hetaerina_vulnerata,-107.824412,32.89778
Hetaerina_vulnerata,-108.206111,33.180278
Hetaerina_vulnerata,-108.2675,33.23083333
Hetaerina_vulnerata,-107.824412,32.89778
Hetaerina_vulnerata,-107.824412,32.89778
Hetaerina_vulnerata,-109.2341667,31.87222222
Hetaerina_vulnerata,-110.3625,32.3822222
Hetaerina_vulnerata,-110.7869444,31.686666
Hetaerina_vulnerata,-106.1969444,35.803888
Hetaerina_vulnerata,-111.09,34.34583
Hetaerina_vulnerata,-111.03833,34.30888
Hetaerina_vulnerata,-111.0527,34.673611
Hetaerina_vulnerata,-111.737777,34.99583
Hetaerina_vulnerata,-113.38861,37.2733
Hetaerina_vulnerata,-113.2861,37.25694
Hetaerina_vulnerata,-113.178055,37.2025
Hetaerina_vulnerata,-110.3613,31.38277
