Individual,Identifier,Day,Month,Year,State,County,Locality,Mountain range,Latitude N,Longitude W,Elevation (meters),Species,Male,Female
1,20138D-01-01,26,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
2,20138D-01-02,26,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
3,20138D-01-03,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
4,20138D-01-04,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
5,20138D-01-05,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
6,20138D-01-06,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
7,20138D-01-07,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
8,20138D-01-08,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
9,20138D-01-09,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
10,20138D-01-10,27,July,2020,New Mexico,Grant,"Gallinas Creek, Upper Gallinas Canyon Campground, Gila N.F.",Black Mountains,32.89778,107.824412,2097,Hetaerina vulnerata,X,
11,20138D-01-11,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
12,20138D-01-12,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
13,20138D-01-13,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
14,20138D-01-14,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
15,20138D-01-15,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
16,20138D-01-16,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
17,20138D-01-17,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
18,20138D-01-18,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
19,20138D-01-19,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
20,20138D-01-20,28,July,2020,Arizona,Cochise,"Cave Creek, Herb Martyr Campground, Coronado N.F.",Chiricahuas,31.8722,-109.2342,1792,Hetaerina vulnerata,X,
21,20138D-01-21,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
22,20138D-01-22,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
23,20138D-01-23,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
24,20138D-01-24,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
25,20138D-01-25,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
26,20138D-01-26,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
27,20138D-01-27,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
28,20138D-01-28,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
29,20138D-01-29,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
30,20138D-01-30,7,August,2020,New Mexico,Santa Fe,Pajarito Spring,Jemez Mountains,35.8038,-106.1969,1700,Hetaerina vulnerata,X,
31,20138D-01-31,8,August,2020,Arizona,Gila,"Horton Creek 0.5 mi up stream from Upper Tonto Creek Campground, Tonto N.F.",Mogollon Rim,34.3458,-111.09,1713,Hetaerina vulnerata,X,
32,20138D-01-32,8,August,2020,Arizona,Gila,"Horton Creek 0.5 mi up stream from Upper Tonto Creek Campground, Tonto N.F.",Mogollon Rim,34.3458,-111.09,1713,Hetaerina vulnerata,X,
33,20138D-01-33,8,August,2020,Arizona,Gila,"Horton Creek 0.5 mi up stream from Upper Tonto Creek Campground, Tonto N.F.",Mogollon Rim,34.3458,-111.09,1713,Hetaerina vulnerata,X,
34,20138D-01-34,8,August,2020,Arizona,Gila,"Horton Creek 0.5 mi up stream from Upper Tonto Creek Campground, Tonto N.F.",Mogollon Rim,34.3458,-111.09,1713,Hetaerina vulnerata,X,
35,20138D-01-35,8,August,2020,Arizona,Gila,"Horton Creek 0.5 mi up stream from Upper Tonto Creek Campground, Tonto N.F.",Mogollon Rim,34.3458,-111.09,1713,Hetaerina vulnerata,X,
36,20138D-01-36,8,August,2020,Arizona,Gila,"Horton Creek 0.5 mi up stream from Upper Tonto Creek Campground, Tonto N.F.",Mogollon Rim,34.3458,-111.09,1713,Hetaerina vulnerata,X,
37,20138D-01-37,9,August,2020,Arizona,Gila,"Christopher Creek Campground, Tonto N.F.",Mogollon Rim,34.3088,-111.0383,1710,Hetaerina vulnerata,X,
38,20138D-01-38,9,August,2020,Arizona,Gila,"Christopher Creek Campground, Tonto N.F.",Mogollon Rim,34.3088,-111.0383,1710,Hetaerina vulnerata,X,
39,20138D-01-39,9,August,2020,Arizona,Gila,"Christopher Creek Campground, Tonto N.F.",Mogollon Rim,34.3088,-111.0383,1710,Hetaerina vulnerata,X,
40,20138D-01-40,9,August,2020,Arizona,Gila,"Christopher Creek Campground, Tonto N.F.",Mogollon Rim,34.3088,-111.0383,1710,Hetaerina vulnerata,X,
41,20138D-01-41,10,August,2020,Arizona,Yavapai,"Wet Beaver Creek, Coconino N.F.",Mogollon Rim,34.6736,-111.7081,1161,Hetaerina vulnerata,X,
42,20138D-01-42,10,August,2020,Arizona,Yavapai,"Wet Beaver Creek, Coconino N.F.",Mogollon Rim,34.6736,-111.7081,1161,Hetaerina vulnerata,X,
43,20138D-01-43,10,August,2020,Arizona,Yavapai,"Wet Beaver Creek, Coconino N.F.",Mogollon Rim,34.6736,-111.7081,1161,Hetaerina americana,X,
44,20138D-01-44,10,August,2020,Arizona,Yavapai,"Wet Beaver Creek, Coconino N.F.",Mogollon Rim,34.6736,-111.7081,1161,Hetaerina vulnerata,X,
45,20138D-01-45,10,August,2020,Arizona,Coconino,"Oak Creek at Cave Springs Campground, Coconino N.F.",Mogollon Rim,34.9958,-111.7378,1658,Hetaerina vulnerata,X,
